Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
42,female,group B,associate's degree,standard,none,53,58,65
608,female,group E,some college,standard,none,61,64,62
186,male,group E,high school,standard,none,80,76,65
27,female,group C,bachelor's degree,standard,none,67,69,75
474,female,group B,associate's degree,standard,completed,90,90,91
634,male,group D,some high school,standard,none,84,84,80
106,female,group D,master's degree,standard,none,87,100,100
702,male,group A,bachelor's degree,standard,completed,87,84,87
651,female,group A,high school,standard,completed,68,80,76
366,male,group C,high school,standard,completed,69,58,53
67,female,group C,some college,standard,none,60,72,74
924,male,group D,high school,free/reduced,none,74,70,69
173,female,group C,associate's degree,standard,none,63,67,70
326,male,group C,some college,standard,none,61,61,62
283,female,group D,some college,free/reduced,completed,70,78,78
594,female,group C,bachelor's degree,standard,completed,92,100,99
749,male,group B,some college,standard,completed,87,84,86
915,female,group E,some college,standard,none,68,70,66
299,male,group D,associate's degree,free/reduced,none,90,87,75
983,female,group A,some college,standard,completed,78,87,91
200,female,group C,associate's degree,standard,completed,67,84,86
252,female,group B,some high school,standard,completed,60,70,70
275,male,group C,bachelor's degree,standard,none,83,78,73
117,female,group D,bachelor's degree,standard,none,78,82,79
528,female,group D,bachelor's degree,free/reduced,none,29,41,47
97,female,group E,some college,standard,completed,63,72,70
512,male,group D,some high school,free/reduced,none,62,49,52
982,male,group B,some high school,standard,completed,79,85,86
468,female,group A,high school,free/reduced,completed,77,88,85
243,male,group E,some college,standard,none,59,51,43
586,female,group A,high school,standard,none,55,73,73
8,male,group D,high school,free/reduced,completed,64,64,67
449,male,group B,associate's degree,standard,none,81,73,72
985,male,group A,high school,standard,none,57,51,54
722,female,group B,some high school,free/reduced,completed,74,90,88
961,female,group D,some high school,free/reduced,none,48,54,53
940,male,group C,master's degree,free/reduced,completed,72,66,72
221,male,group B,associate's degree,standard,none,87,85,73
869,male,group C,associate's degree,free/reduced,none,49,51,51
434,male,group C,some high school,standard,none,73,66,66
38,female,group D,associate's degree,free/reduced,completed,75,90,88
86,female,group C,some college,free/reduced,none,76,83,88
94,female,group B,some college,standard,none,79,86,92
855,female,group B,bachelor's degree,standard,none,97,97,96
59,female,group C,some high school,free/reduced,none,0,17,10
281,male,group D,high school,standard,none,45,48,46
170,male,group A,high school,standard,completed,72,73,74
763,female,group B,high school,standard,none,62,62,63
564,male,group B,bachelor's degree,free/reduced,none,48,51,46
883,male,group D,bachelor's degree,free/reduced,none,55,46,44
292,male,group C,some high school,standard,completed,63,60,57
719,male,group E,associate's degree,free/reduced,completed,91,73,80
669,male,group D,associate's degree,standard,completed,81,72,77
894,female,group E,associate's degree,standard,none,59,62,69
229,female,group C,some college,standard,completed,88,95,94
427,male,group C,some high school,free/reduced,none,69,71,65
622,male,group C,high school,free/reduced,completed,58,51,52
251,female,group D,some college,free/reduced,none,71,83,83
222,female,group C,some high school,free/reduced,none,55,65,62
362,female,group C,some college,standard,none,52,58,58
674,female,group D,high school,standard,completed,69,77,78
834,male,group B,some college,standard,none,58,50,45
227,male,group D,high school,standard,none,57,50,54
471,female,group C,high school,standard,none,63,69,74
929,female,group C,some high school,free/reduced,none,48,56,51
457,male,group D,associate's degree,free/reduced,none,53,54,48
494,female,group B,high school,standard,none,54,64,68
154,male,group D,some high school,standard,none,62,67,61
800,male,group C,some high school,standard,completed,67,73,68
649,female,group D,some college,standard,completed,69,79,81
560,female,group D,some college,standard,completed,74,75,79
781,female,group B,master's degree,standard,none,77,90,84
167,female,group B,master's degree,free/reduced,completed,58,76,78
41,female,group C,associate's degree,standard,none,58,73,68
857,female,group C,bachelor's degree,standard,none,65,79,81
294,male,group D,high school,free/reduced,completed,78,77,80
932,male,group D,associate's degree,free/reduced,completed,61,71,73
613,female,group C,associate's degree,standard,none,65,77,74
367,male,group C,bachelor's degree,free/reduced,none,61,66,61
508,male,group C,master's degree,standard,none,79,78,77
401,male,group A,some college,standard,none,53,43,43
20,male,group D,high school,standard,none,66,69,63
756,male,group D,some college,standard,none,55,58,52
721,male,group D,some high school,free/reduced,completed,55,59,59
334,female,group C,bachelor's degree,standard,none,83,93,95
583,female,group D,associate's degree,standard,completed,73,75,80
61,male,group A,some high school,free/reduced,none,39,39,34
461,male,group B,some college,free/reduced,none,54,54,45
537,female,group D,high school,standard,none,51,66,62
386,female,group E,bachelor's degree,standard,none,64,73,70
153,male,group D,bachelor's degree,standard,none,54,49,47
138,female,group C,associate's degree,standard,none,59,66,67
713,male,group D,master's degree,standard,none,81,81,84
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
339,female,group D,some high school,free/reduced,completed,35,55,60
552,female,group B,associate's degree,standard,none,40,48,50
400,female,group C,some high school,standard,completed,59,54,67
791,female,group D,some college,free/reduced,none,60,66,70
260,female,group C,some high school,free/reduced,completed,64,79,77
538,male,group E,bachelor's degree,standard,completed,85,66,71
793,male,group E,some high school,standard,completed,89,84,77
69,female,group C,associate's degree,standard,none,39,64,57
720,female,group C,some college,free/reduced,none,62,72,70
557,male,group C,master's degree,free/reduced,none,61,67,66
930,male,group C,some college,free/reduced,completed,67,74,70
925,male,group E,some high school,standard,completed,74,64,60
798,male,group E,some college,standard,none,69,60,54
935,male,group D,some college,free/reduced,none,70,63,58
416,male,group C,bachelor's degree,standard,completed,71,74,68
726,female,group E,associate's degree,standard,completed,65,75,77
370,male,group E,some college,standard,none,84,77,71
70,female,group D,some college,free/reduced,completed,58,63,73
861,female,group E,master's degree,free/reduced,none,81,86,87
220,female,group D,high school,standard,completed,56,68,74
631,male,group B,high school,standard,none,79,60,65
316,female,group D,master's degree,standard,completed,77,82,91
9,female,group B,high school,free/reduced,none,38,60,50
149,male,group E,associate's degree,free/reduced,completed,100,100,93
859,male,group C,associate's degree,free/reduced,none,87,73,72
317,male,group C,associate's degree,standard,none,83,72,78
992,female,group D,associate's degree,free/reduced,none,55,76,76
556,female,group C,associate's degree,standard,completed,55,72,79
911,female,group A,some college,standard,none,69,84,82
40,male,group C,associate's degree,free/reduced,none,55,61,54
853,male,group E,some high school,standard,none,82,67,61
113,female,group D,some college,standard,none,51,58,54
841,male,group C,some high school,standard,none,64,58,51
169,female,group C,some college,free/reduced,completed,67,75,70
904,female,group D,some high school,free/reduced,none,67,84,84
33,male,group D,some college,standard,none,40,42,38
205,male,group D,some high school,standard,completed,74,71,78
44,female,group E,associate's degree,free/reduced,none,50,56,54
967,male,group C,some college,standard,none,63,63,60
487,female,group C,associate's degree,free/reduced,none,60,75,74
6,female,group B,some college,standard,completed,88,95,92
934,male,group C,associate's degree,standard,completed,98,87,90
775,female,group B,some high school,free/reduced,none,49,58,55
239,male,group C,associate's degree,standard,none,84,80,80
83,male,group E,associate's degree,standard,none,72,64,63
876,male,group D,some college,standard,none,81,82,84
581,female,group E,some high school,standard,none,77,79,80
445,female,group C,some high school,standard,completed,67,74,77
578,female,group B,some college,free/reduced,completed,48,56,58
551,male,group B,bachelor's degree,free/reduced,completed,87,90,88
398,male,group B,some high school,standard,none,74,63,57
250,male,group A,some high school,standard,completed,47,49,49
601,female,group C,high school,standard,none,29,29,30
238,male,group B,some college,standard,none,54,52,51
815,male,group B,some high school,standard,completed,94,86,87
272,female,group D,associate's degree,free/reduced,none,47,53,58
895,female,group E,some high school,free/reduced,none,32,34,38
310,female,group B,associate's degree,standard,none,73,76,80
926,male,group E,associate's degree,free/reduced,none,64,56,52
819,female,group C,some high school,standard,none,77,91,88
533,female,group E,associate's degree,standard,completed,79,88,94
789,female,group C,master's degree,free/reduced,none,52,65,61
496,female,group C,some college,standard,none,54,48,52
691,female,group E,associate's degree,free/reduced,none,73,76,78
135,male,group C,bachelor's degree,standard,none,58,55,48
568,male,group B,high school,free/reduced,none,63,48,47
689,male,group E,some college,free/reduced,none,93,90,83
255,female,group E,some college,standard,none,62,73,70
760,female,group C,high school,free/reduced,none,53,72,64
746,male,group D,high school,standard,none,69,75,71
16,male,group C,high school,standard,none,88,89,86
898,male,group D,associate's degree,standard,completed,67,54,63
380,female,group B,associate's degree,standard,none,80,86,83
639,female,group D,associate's degree,standard,none,76,74,73
489,male,group A,associate's degree,free/reduced,completed,79,82,82
349,male,group E,associate's degree,standard,none,87,74,76
867,male,group B,associate's degree,standard,none,61,42,41
662,female,group D,some college,free/reduced,none,55,71,69
788,male,group C,associate's degree,free/reduced,none,68,65,61
87,female,group D,associate's degree,standard,none,71,71,74
295,male,group B,associate's degree,free/reduced,none,67,62,60
1,female,group C,some college,standard,completed,69,90,88
342,female,group B,high school,standard,completed,69,76,74
396,female,group B,high school,free/reduced,none,50,67,63
603,male,group D,high school,free/reduced,none,60,57,51
820,female,group A,some high school,standard,completed,85,90,92
196,male,group C,some high school,free/reduced,completed,59,69,65
340,male,group C,high school,free/reduced,none,58,61,52
980,female,group B,high school,free/reduced,none,8,24,23
277,female,group E,high school,standard,completed,59,63,75
549,male,group C,master's degree,standard,none,79,72,69
640,male,group D,high school,standard,none,41,52,51
111,male,group C,high school,standard,none,62,55,49
68,male,group B,associate's degree,free/reduced,none,61,58,56
616,female,group E,bachelor's degree,standard,none,37,45,38
268,female,group D,associate's degree,standard,completed,88,92,95
499,male,group E,some college,standard,none,76,71,72
769,male,group A,some college,free/reduced,none,58,60,57
975,female,group C,some college,standard,completed,64,82,77
423,female,group A,some high school,standard,completed,59,85,80
707,male,group C,some college,standard,none,66,59,52
46,female,group A,associate's degree,standard,completed,55,65,62
991,female,group B,some high school,standard,completed,65,82,78
996,male,group C,high school,free/reduced,none,62,55,55
337,male,group C,associate's degree,standard,none,49,51,43
917,female,group C,high school,standard,none,44,61,52
0,female,group B,bachelor's degree,standard,none,72,72,74
379,male,group A,bachelor's degree,standard,none,66,64,62
604,male,group D,master's degree,free/reduced,completed,84,89,90
692,female,group C,bachelor's degree,free/reduced,completed,66,74,81
606,female,group C,associate's degree,standard,none,85,84,82
484,female,group B,associate's degree,standard,none,49,52,54
831,female,group C,bachelor's degree,free/reduced,completed,74,86,89
164,female,group E,master's degree,standard,none,81,92,91
920,male,group D,high school,free/reduced,none,69,70,67
262,female,group C,some high school,free/reduced,none,44,50,51
830,female,group A,some college,free/reduced,none,61,60,57
210,male,group D,some high school,free/reduced,completed,80,79,79
999,female,group D,some college,free/reduced,none,77,86,86
103,male,group B,high school,standard,completed,60,44,47
663,female,group C,high school,standard,none,65,69,67
13,male,group A,some college,standard,completed,78,72,70
805,male,group A,some college,free/reduced,none,75,81,74
433,female,group A,some high school,free/reduced,none,47,59,50
323,female,group C,some high school,free/reduced,none,43,53,53
595,female,group C,bachelor's degree,standard,completed,56,79,72
114,female,group E,bachelor's degree,standard,completed,99,100,100
984,female,group C,some high school,standard,none,74,75,82
729,male,group C,some college,standard,none,53,39,37
813,male,group E,some high school,standard,completed,87,84,76
799,female,group C,associate's degree,standard,none,52,55,57
492,female,group C,some college,standard,none,83,83,90
469,male,group C,some college,standard,none,91,74,76
137,male,group E,high school,standard,none,70,55,56
573,female,group C,high school,free/reduced,completed,50,66,64
646,female,group D,associate's degree,standard,none,59,70,65
214,male,group E,high school,standard,completed,87,91,81
199,female,group B,bachelor's degree,free/reduced,none,78,79,76
927,female,group D,high school,free/reduced,completed,65,61,71
343,male,group D,associate's degree,standard,completed,67,72,67
338,female,group B,some high school,free/reduced,none,24,38,27
696,female,group C,associate's degree,standard,completed,75,82,90
770,male,group B,high school,standard,none,52,48,49
801,male,group C,some high school,standard,completed,76,80,73
599,female,group D,some high school,standard,none,65,82,81
144,male,group D,some college,standard,none,88,73,78
36,female,group D,associate's degree,standard,none,74,81,83
185,male,group C,associate's degree,free/reduced,completed,65,67,65
482,male,group C,some college,free/reduced,none,68,68,61
787,female,group B,some college,standard,none,19,38,32
391,female,group D,some college,standard,none,77,68,77
905,male,group D,some college,standard,none,88,77,77
888,female,group D,some college,free/reduced,none,69,65,74
5,female,group B,associate's degree,standard,none,71,83,78
971,male,group C,some high school,standard,completed,78,72,69
593,female,group E,high school,standard,none,74,76,73
81,male,group B,high school,free/reduced,none,49,45,45
19,female,group C,associate's degree,free/reduced,none,54,58,61
85,female,group C,some college,standard,none,73,80,82
774,male,group B,some college,standard,none,66,65,60
211,male,group C,some college,free/reduced,none,35,28,27
597,male,group A,some high school,standard,none,53,54,48
893,male,group D,some high school,standard,completed,88,74,75
553,male,group D,some college,free/reduced,none,77,62,64
171,male,group E,some high school,standard,none,94,88,78
579,female,group D,master's degree,standard,none,53,61,68
456,female,group D,bachelor's degree,standard,none,79,89,89
623,male,group A,some college,standard,completed,100,96,86
624,female,group E,bachelor's degree,free/reduced,none,61,58,62
123,male,group D,high school,free/reduced,none,63,57,56
890,female,group E,some college,standard,completed,86,85,91
656,male,group C,associate's degree,free/reduced,none,77,67,64
515,female,group C,some high school,standard,completed,76,87,85
638,male,group E,some college,standard,none,86,76,74
529,female,group C,associate's degree,standard,none,62,74,70
289,male,group E,some high school,standard,completed,77,76,77
574,female,group E,high school,standard,none,74,81,71
285,male,group B,associate's degree,standard,completed,81,82,82
690,female,group C,associate's degree,standard,none,49,53,53
230,male,group D,some college,standard,none,76,64,66
180,male,group C,master's degree,free/reduced,completed,62,68,75
7,male,group B,some college,free/reduced,none,40,43,39
778,female,group A,some college,standard,completed,72,79,82
686,male,group E,some college,standard,completed,85,75,68
226,female,group C,some college,standard,none,72,72,71
118,female,group D,some high school,standard,none,51,63,61
717,female,group C,associate's degree,standard,completed,96,96,99
767,male,group B,high school,standard,completed,76,62,60
125,female,group B,high school,standard,none,87,95,86
77,male,group A,bachelor's degree,standard,completed,80,78,81
304,female,group C,associate's degree,standard,completed,74,75,83
590,male,group C,some college,free/reduced,none,58,57,54
287,female,group B,some high school,standard,none,67,89,82
344,male,group D,some college,standard,none,79,73,67
671,male,group D,associate's degree,free/reduced,none,52,57,50
80,female,group B,associate's degree,standard,none,47,49,50
73,male,group C,some high school,free/reduced,none,61,57,56
389,male,group D,master's degree,standard,none,73,70,75
139,male,group D,some college,standard,completed,71,61,69
257,male,group C,associate's degree,standard,completed,78,77,77
437,male,group D,associate's degree,free/reduced,none,75,66,73
332,male,group E,associate's degree,standard,completed,62,56,53
795,female,group E,associate's degree,free/reduced,completed,57,68,73
288,male,group B,bachelor's degree,free/reduced,none,88,75,76
483,male,group A,high school,standard,none,59,52,46
52,male,group C,some college,standard,none,53,44,42
143,male,group A,high school,standard,none,57,43,47
66,male,group D,some high school,free/reduced,none,45,37,37
308,female,group B,associate's degree,free/reduced,none,53,71,67
944,female,group B,high school,standard,none,58,68,61
524,male,group C,high school,standard,completed,53,52,49
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
839,female,group C,associate's degree,standard,none,66,77,73
443,female,group B,associate's degree,standard,none,73,83,76
21,female,group B,some college,free/reduced,completed,65,75,70
411,male,group E,some college,standard,completed,84,83,78
969,female,group B,bachelor's degree,standard,none,75,84,80
92,male,group C,high school,standard,none,71,79,71
711,female,group E,some high school,standard,completed,80,85,85
336,male,group D,some high school,standard,completed,76,70,69
126,male,group B,some high school,standard,none,72,68,67
48,female,group D,associate's degree,free/reduced,completed,57,74,76
716,male,group C,associate's degree,standard,completed,73,78,72
964,male,group D,some college,standard,none,72,57,58
293,female,group E,bachelor's degree,standard,none,65,73,75
981,male,group D,some high school,standard,none,81,78,78
973,female,group D,some college,free/reduced,none,49,65,61
236,male,group D,bachelor's degree,free/reduced,none,63,66,67
678,male,group D,associate's degree,free/reduced,none,81,75,78
873,male,group E,associate's degree,free/reduced,none,90,90,82
132,male,group E,some college,free/reduced,completed,87,74,70
446,male,group D,some college,free/reduced,none,69,66,60
742,female,group C,high school,standard,none,81,84,82
947,female,group D,some college,free/reduced,none,49,58,60
240,male,group D,high school,free/reduced,completed,73,68,66
510,male,group D,some college,standard,none,76,71,73
952,female,group E,some high school,free/reduced,none,74,74,72
152,female,group B,associate's degree,standard,completed,59,70,66
956,male,group C,some college,standard,none,84,87,81
99,female,group D,bachelor's degree,standard,none,65,67,62
863,female,group C,some college,standard,completed,71,71,80
576,male,group A,some college,standard,completed,61,51,52
710,male,group C,some college,standard,completed,93,84,90
364,male,group C,some college,standard,none,59,60,58
745,male,group D,associate's degree,standard,none,72,79,74
498,female,group B,some high school,standard,none,66,69,68
615,female,group C,high school,standard,none,60,68,72
790,female,group B,high school,standard,none,48,62,60
34,male,group E,some college,standard,none,97,87,82
128,male,group D,master's degree,standard,none,82,82,74
658,female,group D,associate's degree,free/reduced,none,43,60,58
265,male,group D,some high school,free/reduced,none,59,42,41
189,female,group C,bachelor's degree,standard,none,77,88,87
784,male,group C,bachelor's degree,standard,completed,91,81,79
124,male,group E,some college,standard,none,83,80,73
479,male,group E,associate's degree,standard,none,76,71,67
266,female,group C,bachelor's degree,standard,none,63,75,81
249,male,group C,high school,standard,none,68,60,53
617,male,group D,bachelor's degree,standard,none,88,78,83
802,female,group E,associate's degree,standard,none,87,94,95
212,female,group C,high school,free/reduced,none,42,62,60
202,male,group C,associate's degree,standard,none,69,77,69
166,male,group C,high school,free/reduced,completed,53,51,51
762,male,group D,some high school,standard,completed,78,81,86
409,male,group D,associate's degree,standard,completed,87,84,85
877,male,group C,some high school,standard,none,57,61,54
361,male,group B,some high school,standard,completed,85,84,78
543,female,group D,associate's degree,standard,none,82,95,89
62,male,group A,associate's degree,free/reduced,none,62,61,55
64,female,group D,some high school,standard,none,59,58,59
914,female,group B,associate's degree,free/reduced,none,46,61,55
264,male,group D,high school,standard,none,76,73,68
467,male,group A,high school,free/reduced,completed,72,67,65
348,male,group D,high school,free/reduced,none,75,74,66
206,male,group E,bachelor's degree,standard,none,82,62,62
159,male,group D,associate's degree,free/reduced,none,66,62,64
954,female,group C,some college,standard,none,62,69,69
18,male,group C,master's degree,free/reduced,completed,46,42,46
107,male,group E,associate's degree,standard,completed,66,63,64
436,male,group D,associate's degree,standard,none,75,68,64
378,female,group A,some high school,standard,none,71,83,77
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
392,male,group E,some college,standard,none,76,67,67
297,male,group E,associate's degree,standard,completed,71,74,68
808,male,group C,high school,standard,none,90,75,69
383,female,group E,some high school,free/reduced,none,38,49,45
404,female,group C,high school,standard,none,54,59,62
439,male,group D,some high school,standard,completed,89,88,82
587,female,group C,bachelor's degree,free/reduced,none,44,63,62
32,female,group E,master's degree,free/reduced,none,56,72,65
90,female,group C,bachelor's degree,standard,none,65,72,74
306,male,group E,some college,standard,completed,99,87,81
330,male,group C,high school,standard,none,71,60,61
322,female,group C,some college,standard,none,71,81,80
47,female,group C,high school,standard,none,66,71,76
399,male,group D,some high school,standard,none,60,59,54
605,male,group C,some high school,standard,none,75,72,62
718,female,group C,high school,standard,none,76,76,74
735,male,group C,master's degree,standard,none,67,57,59
818,female,group B,high school,free/reduced,none,60,72,68
741,female,group A,associate's degree,free/reduced,none,37,57,56
647,female,group E,high school,free/reduced,none,64,62,68
477,male,group D,associate's degree,standard,none,80,68,72
910,male,group D,bachelor's degree,free/reduced,none,50,42,48
695,female,group D,some college,free/reduced,none,79,89,86
780,female,group D,associate's degree,free/reduced,none,46,56,57
43,male,group B,some college,free/reduced,completed,59,65,66
333,male,group B,associate's degree,standard,none,90,78,81
346,male,group B,some college,standard,none,62,61,57
881,female,group E,bachelor's degree,standard,completed,71,70,70
234,male,group C,bachelor's degree,standard,completed,83,82,84
191,male,group D,some college,standard,completed,76,83,79
810,male,group A,some high school,standard,none,51,31,36
127,male,group D,some college,standard,completed,65,77,74
903,female,group D,bachelor's degree,free/reduced,completed,93,100,100
865,male,group D,some college,standard,completed,82,82,88
133,female,group C,some college,standard,completed,75,81,84
988,female,group A,some high school,free/reduced,none,44,45,45
712,female,group D,some college,standard,none,98,100,99
314,female,group C,bachelor's degree,standard,completed,59,64,75
878,female,group D,some high school,standard,none,59,72,80
430,male,group C,associate's degree,free/reduced,none,64,66,59
429,male,group C,some high school,free/reduced,none,68,63,54
916,male,group E,bachelor's degree,standard,completed,100,100,100
313,female,group C,associate's degree,free/reduced,completed,68,67,69
632,female,group B,bachelor's degree,standard,completed,66,74,81
575,male,group A,associate's degree,free/reduced,completed,40,55,53
28,male,group C,high school,standard,none,70,70,65
698,female,group D,associate's degree,standard,completed,57,78,79
157,male,group B,some college,free/reduced,none,60,60,60
490,female,group A,associate's degree,free/reduced,none,65,85,76
546,female,group A,some high school,standard,completed,92,100,97
131,male,group C,some high school,free/reduced,completed,53,37,40
764,male,group D,some college,standard,none,60,63,59
331,male,group C,associate's degree,standard,none,47,37,35
618,male,group D,master's degree,standard,none,95,81,84
26,male,group B,some college,standard,none,69,54,55
428,male,group A,some high school,free/reduced,none,65,59,53
637,female,group D,some high school,standard,completed,80,92,88
561,female,group C,some college,standard,none,63,74,74
828,female,group D,some high school,free/reduced,completed,69,86,81
783,female,group C,associate's degree,standard,completed,52,59,62
896,male,group B,high school,free/reduced,none,36,29,27
395,male,group A,high school,free/reduced,none,48,45,41
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
675,female,group B,some college,standard,completed,50,64,66
768,female,group D,some high school,standard,none,68,71,75
565,male,group B,associate's degree,standard,none,48,43,45
305,male,group A,some college,standard,none,69,67,69
478,female,group D,master's degree,standard,none,55,64,70
856,male,group B,some college,free/reduced,none,75,68,65
654,female,group B,some high school,standard,none,73,79,79
806,female,group D,some college,free/reduced,none,64,74,75
520,male,group D,some college,standard,none,71,49,52
968,female,group E,associate's degree,standard,none,68,76,67
727,male,group E,some high school,standard,completed,68,51,57
55,female,group C,high school,free/reduced,none,33,41,43
51,male,group E,associate's degree,free/reduced,completed,77,69,68
611,female,group C,some college,standard,none,58,59,66
849,male,group D,associate's degree,standard,none,80,75,69
530,female,group C,associate's degree,standard,completed,68,67,73
141,female,group C,some college,free/reduced,none,59,62,64
714,female,group B,some high school,standard,completed,60,70,74
254,male,group D,high school,standard,none,54,52,52
516,female,group D,some college,standard,none,74,89,84
412,male,group D,associate's degree,standard,none,71,66,60
356,male,group A,associate's degree,standard,none,63,61,61
246,male,group E,associate's degree,standard,none,89,76,74
290,male,group C,associate's degree,standard,none,76,70,68
31,female,group B,some college,standard,none,63,65,61
500,female,group D,master's degree,standard,none,74,79,82
279,male,group B,bachelor's degree,free/reduced,none,73,56,57
475,female,group D,bachelor's degree,standard,completed,71,76,83
826,female,group C,associate's degree,free/reduced,completed,56,68,70
559,male,group D,some high school,standard,none,73,66,62
303,male,group B,associate's degree,standard,none,80,76,64
589,female,group A,some high school,standard,none,48,66,65
329,female,group B,some high school,standard,none,41,55,51
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
900,male,group D,master's degree,standard,none,85,84,89
273,female,group D,some college,standard,none,65,70,71
455,male,group C,bachelor's degree,free/reduced,none,37,56,47
466,female,group D,associate's degree,free/reduced,none,26,31,38
816,female,group A,bachelor's degree,standard,none,45,59,64
600,female,group D,master's degree,standard,none,54,60,63
353,female,group C,associate's degree,standard,none,46,58,57
912,female,group C,bachelor's degree,standard,completed,52,61,66
72,female,group A,associate's degree,free/reduced,none,41,51,48
580,female,group D,some high school,standard,none,81,97,96
219,male,group B,some high school,standard,completed,61,56,56
454,female,group C,associate's degree,free/reduced,none,53,61,62
53,male,group D,high school,standard,none,88,78,75
550,male,group C,some high school,free/reduced,none,79,76,65
887,male,group C,high school,free/reduced,none,54,72,59
312,male,group D,bachelor's degree,standard,completed,67,61,68
213,male,group C,associate's degree,free/reduced,completed,60,51,56
814,female,group C,high school,standard,none,72,80,83
891,female,group E,associate's degree,standard,none,85,92,85
777,female,group C,some college,free/reduced,none,35,44,43
835,female,group C,high school,standard,completed,60,64,74
375,male,group E,associate's degree,free/reduced,none,46,43,41
851,female,group A,high school,standard,none,61,68,63
453,male,group C,some college,free/reduced,none,65,58,49
629,female,group C,some high school,standard,completed,44,51,55
880,male,group C,bachelor's degree,standard,completed,63,64,66
906,male,group B,high school,standard,none,57,48,51
534,male,group B,high school,standard,completed,73,69,68
703,female,group D,some college,standard,none,63,64,67
845,male,group E,master's degree,standard,none,90,85,84
588,female,group C,some college,standard,none,54,64,65
998,female,group D,some college,standard,completed,68,78,77
544,female,group D,master's degree,standard,none,64,63,66
181,female,group C,some college,free/reduced,none,46,64,66
407,female,group B,associate's degree,standard,none,82,80,77
30,female,group D,some college,standard,none,69,74,74
410,female,group D,master's degree,standard,completed,70,71,74
511,male,group A,some high school,standard,none,64,50,43
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
645,female,group B,bachelor's degree,standard,completed,65,81,81
736,male,group C,associate's degree,standard,none,92,79,84
548,female,group C,high school,free/reduced,none,62,67,64
350,female,group B,bachelor's degree,standard,none,52,65,69
754,male,group C,associate's degree,free/reduced,none,58,55,53
765,female,group B,high school,standard,none,74,72,72
522,male,group D,bachelor's degree,standard,none,69,58,57
676,female,group E,some college,standard,completed,73,78,76
209,female,group B,some college,free/reduced,none,58,61,66
232,female,group B,bachelor's degree,standard,none,67,86,83
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54
464,male,group A,bachelor's degree,standard,completed,75,58,62
525,male,group E,some college,standard,none,68,60,59
701,female,group B,some high school,standard,none,57,67,72
567,female,group D,master's degree,free/reduced,completed,61,71,78
641,female,group D,associate's degree,free/reduced,completed,74,88,90
697,female,group A,bachelor's degree,standard,none,59,72,70
825,male,group C,high school,standard,none,62,67,58
115,male,group C,high school,standard,none,84,77,74
648,female,group B,high school,standard,none,50,53,55
750,male,group D,some high school,standard,completed,71,69,68
928,male,group E,associate's degree,free/reduced,completed,46,43,44
610,male,group D,some college,free/reduced,completed,69,60,63
531,female,group C,some high school,standard,none,47,54,53
733,male,group D,some high school,standard,none,55,47,44
217,female,group C,high school,free/reduced,none,34,42,39
145,female,group C,some college,free/reduced,none,22,39,33
284,female,group B,some high school,standard,none,37,46,46
